1.861352645	1.8149	1.820782652
1.787715534	1.7021	1.747868455
1.693615195	1.589	1.670704894
1.614748802	1.5177	1.618339498
1.574320068	1.5147	1.606763574
1.582097039	1.5849	1.638332599
1.638937479	1.7144	1.706101932
1.738072052	1.8749	1.796585343
1.860823242	2.0289	1.888887746
1.973422794	2.1347	1.954504371
2.0335603	2.1547	1.963443229
2.007539614	2.0681	1.896843292
1.888421853	1.8822	1.758988312
1.702380513	1.6343	1.579742557
1.498216411	1.3817	1.404340394
1.327080094	1.184	1.276318965
1.225427482	1.0847	1.223592267
1.209356619	1.1014	1.253899333
1.277993127	1.2252	1.358027127
1.41750456	1.4257	1.514581751
1.600779835	1.6573	1.692365067
1.786388274	1.8667	1.85240523
1.924715703	2.0032	1.954645918
1.974106397	2.0323	1.970679642
1.919796946	1.9485	1.89694349
1.78311931	1.7805	1.759427084
1.613587351	1.5828	1.60510979
1.468185702	1.4183	1.484049546
1.390479673	1.3375	1.432007259
1.400235572	1.3653	1.461852572
1.494600999	1.4967	1.564721948
1.653744251	1.701	1.71572999
1.84422677	1.9296	1.879056094
2.020639247	2.1245	2.012226662
2.131819099	2.2309	2.073391597
2.13563298	2.2106	2.033666981
2.017549204	2.0565	1.890521398
1.801556408	1.7985	1.67385546
1.544526406	1.4979	1.438824419
1.315616977	1.2292	1.247429972
1.172093493	1.0578	1.148044282
1.143908972	1.0225	1.162500255
1.231377957	1.1279	1.28424212
1.410984987	1.3459	1.483968803
1.641858116	1.6241	1.717092989
1.870675373	1.8964	1.930844463
2.039128597	2.0965	2.073184126
2.098155494	2.1735	2.105634447
2.026237129	2.1074	2.01729196
1.841890363	1.9176	1.832582971
1.600744808	1.6595	1.606155161
1.376341761	1.4081	1.405155215
1.23417699	1.2349	1.286849887
1.211989437	1.1876	1.281900128
1.313445788	1.279	1.388989332
1.512880196	1.486	1.579240805
1.763875022	1.7571	1.804991736
2.007324926	2.0243	2.009249137
2.180669637	2.217	2.136230609
2.2319142	2.2797	2.144597078
2.137238115	2.1875	2.02156836
1.914128409	1.9568	1.791572667
1.620510824	1.6432	1.512707542
1.337124582	1.3266	1.259846258
1.14056962	1.0886	1.100936083
1.079842895	0.9885	1.076857537
1.165650274	1.0499	1.192281977
1.372904701	1.256	1.41807959
1.650296363	1.5562	1.700702931
1.931263039	1.8779	1.973949233
2.145687791	2.1421	2.171802471
2.234688058	2.2821	2.243002573
2.16805381	2.2611	2.165934391
1.957937005	2.0842	1.958466777
1.65989977	1.7993	1.676249678
1.357314495	1.4841	1.397273722
1.134495306	1.2234	1.197793619
1.050524735	1.0857	1.129534783
1.124395578	1.1046	1.20678995
1.334421033	1.2732	1.40595681
1.627488125	1.547	1.674255923
1.932046976	1.8554	1.942769157
2.172224265	2.118	2.141133028
2.283827652	2.2638	2.213378943
2.231851736	2.2502	2.133467941
2.024394157	2.0759	1.915911953
1.715041132	1.7844	1.615449837
1.389123618	1.4519	1.312988064
1.137500308	1.1669	1.09164228
1.028608066	1.0046	1.012046556
1.089968259	1.0077	1.09615245
1.304173152	1.1765	1.323745392
1.616873569	1.4706	1.639930499
1.950989602	1.8188	1.969014295
2.223198379	2.1356	2.231178451
2.361811736	2.3415	2.360245915
2.325101941	2.383	2.320625627
2.11573219	2.2484	2.119202772
1.784299425	1.9722	1.806585221
1.417298774	1.6262	1.464626569
1.111903264	1.2999	1.18305433
0.946992016	1.0754	1.033499502
0.961574681	1.0061	1.050310908
1.147107975	1.1046	1.22365048
1.453136934	1.3413	1.504648162
1.801403535	1.6524	1.818788757
2.103873539	1.9554	2.08354296
2.282421619	2.169	2.22759148
2.288348087	2.2349	2.209083608
2.117572615	2.1336	2.028729528
1.815228129	1.892	1.732446426
1.465165964	1.5759	1.400388032
1.165994266	1.2721	1.124479281
1.001932989	1.0636	0.981934907
1.019196959	1.0081	1.013986847
1.215233102	1.1241	1.216122324
1.5418243	1.3866	1.540914165
1.918395734	1.7341	1.910564874
2.251012243	2.0825	2.235247037
2.453895494	2.345	2.433962211
2.47066603	2.4545	2.454664229
2.290848851	2.3819	2.289146226
1.955658431	2.1449	1.977431441
1.548801795	1.8038	1.598404753
1.173549542	1.444	1.248327966
0.923543496	1.1532	1.014069798
0.857511827	0.9985	0.949995211
0.985554857	1.011	1.065264977
1.269150048	1.1798	1.323643965
1.632436752	1.4555	1.653953491
1.980836213	1.7622	1.967734825
2.223546582	2.0163	2.180696747
2.296394135	2.1481	2.234216085
2.180013006	2.122	2.111963724
1.907207876	1.9466	1.846146758
1.555257532	1.6731	1.509884269
1.224236679	1.3795	1.196996982
1.008363224	1.149	0.995584462
0.970091529	1.0473	0.964055986
1.124603535	1.1072	1.116531809
1.437438732	1.321	1.42033919
1.83375901	1.6422	1.804555496
2.21608564	1.9959	2.176805326
2.487299858	2.2959	2.445113901
2.575081216	2.4667	2.540904604
2.452158724	2.464	2.437781052
2.145667233	2.288	2.160076241
